latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
67.71268,81.25346,297.45,0.54,0.68,2023-10-17,13,1,VIIRS,n,2.0NRT,268.02,1.56,N
57.94545,60.04633,313.52,0.76,0.77,2023-10-17,16,1,VIIRS,n,2.0NRT,279.15,3.19,N
57.94607,60.04074,300.2,0.76,0.77,2023-10-17,16,1,VIIRS,n,2.0NRT,278.23,2.04,N
58.35651,60.07619,310.4,0.73,0.76,2023-10-17,16,1,VIIRS,n,2.0NRT,276.67,2.51,N
58.35672,60.07538,309.57,0.73,0.76,2023-10-17,16,1,VIIRS,n,2.0NRT,276.52,2.08,N
59.5949,60.58575,298.3,0.65,0.73,2023-10-17,16,1,VIIRS,n,2.0NRT,279.56,1.08,N
59.65834,57.14575,301.36,0.53,0.67,2023-10-17,16,1,VIIRS,n,2.0NRT,278.16,1.72,N
60.81925,65.41921,303.43,0.74,0.76,2023-10-17,16,1,VIIRS,n,2.0NRT,277.81,1.53,N
61.20642,65.61384,297.12,0.71,0.75,2023-10-17,16,1,VIIRS,n,2.0NRT,274.65,0.99,N
68.61726,57.96657,296.06,0.42,0.45,2023-10-17,16,1,VIIRS,n,2.0NRT,266.99,0.58,N
54.56246,53.6706,295.69,0.7,0.75,2023-10-17,18,1,VIIRS,n,2.0NRT,270.4,1.3,N
54.56266,53.67477,299.97,0.7,0.75,2023-10-17,18,1,VIIRS,n,2.0NRT,271.54,1.02,N
57.6206,56.75898,295.13,0.64,0.72,2023-10-17,18,1,VIIRS,n,2.0NRT,274.26,0.45,N
58.39458,58.33124,303.69,0.65,0.73,2023-10-17,18,1,VIIRS,n,2.0NRT,279.02,1.67,N
58.39602,58.3224,302.19,0.65,0.73,2023-10-17,18,1,VIIRS,n,2.0NRT,277.02,1.89,N
58.87098,57.54706,307.42,0.59,0.7,2023-10-17,18,1,VIIRS,n,2.0NRT,278.24,1.26,N
59.12811,37.79116,299.39,0.46,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,265.69,14.34,N
59.13147,37.7939,334.56,0.46,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,270.1,14.34,N
59.13311,37.78636,309.79,0.46,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,268.59,6.35,N
59.13329,37.82203,295.5,0.46,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,264.02,1.46,N
59.13667,37.82474,297.44,0.46,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,263.8,0.83,N
59.14503,37.82268,317.48,0.46,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,265.13,2.03,N
59.14697,37.86866,300.4,0.47,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,267.55,1.4,N
59.14861,37.86111,311.59,0.47,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,264.26,1.4,N
59.15014,37.83569,295.22,0.46,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,264.52,0.96,N
59.15034,37.87142,299.03,0.47,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,268.08,1,N
59.15041,37.88939,296.14,0.47,0.39,2023-10-17,18,1,VIIRS,n,2.0NRT,267.62,2.14,N
62.11468,39.33495,326.1,0.44,0.38,2023-10-17,18,1,VIIRS,n,2.0NRT,289.34,89.15,N
64.66319,21.27691,336.8,0.46,0.47,2023-10-17,18,1,VIIRS,n,2.0NRT,276.21,4.79,N
65.56338,22.22515,306.57,0.44,0.46,2023-10-17,18,1,VIIRS,n,2.0NRT,272.19,1.95,N
65.56396,22.21564,319.4,0.44,0.46,2023-10-17,18,1,VIIRS,n,2.0NRT,273.38,2.68,N
65.76652,24.1839,328.11,0.39,0.44,2023-10-17,18,1,VIIRS,n,2.0NRT,273.78,2.24,N
